Ensemble_ID,Intensity,Density,Energy,Avg_Count,Avg_TPM
ENSMUSG00000030359,129.1187016418192,0.0015627,0.201773,0.0194105,0.00365544375
ENSMUSG00000020804,121.12549202748683,0.00259176,0.313928,0.0,0.0
ENSMUSG00000025375,157.40550093512465,0.0775183,12.2019,0.164208131420125,0.050125439296987505
ENSMUSG00000015243,128.49283545723512,0.0049294,0.633394,0.578300625,0.1032445
ENSMUSG00000028125,138.555768978578,0.0108622,1.50503,2.400026875,0.1591135625
ENSMUSG00000026944,149.3560885729407,0.0978205,14.61,5.0937971875,0.9889115625
ENSMUSG00000031333,118.53772008793939,0.000312482,0.0370409,0.30058250000000003,0.0714759375
ENSMUSG00000024030,132.77430981640552,0.0257732,3.42202,1.025209375,0.11112756249999999
ENSMUSG00000058835,139.76243311934354,0.0462225,6.46016,69.33152789714374,3.2676032375725
ENSMUSG00000026842,144.47471163695204,0.030653,4.42858,1.327463125,0.20640549999999996
ENSMUSG00000026596,127.39737566334465,0.006312,0.804133,0.071501625,0.0125600875
ENSMUSG00000026003,167.7398069809957,0.0245795,4.12295,18.35307286249375,4.12213255374125
ENSMUSG00000062908,135.83273251622208,0.000592131,0.0804305,7.914020625000001,3.3258471875
ENSMUSG00000018574,139.30554347753377,0.0375375,5.22917,0.0,0.0
ENSMUSG00000029545,124.98611713335919,0.0111126,1.38893,0.6390125,0.17347625
ENSMUSG00000027822,126.08017144665304,0.0118043,1.4883,21.282236875,1.1934273125000001
ENSMUSG00000020704,123.10800858579817,0.0176462,2.17238,235.10030625,9.3636525
ENSMUSG00000023017,152.3069483583732,0.0797664,12.149,1.280383837446875,0.044634753976831254
ENSMUSG00000020681,136.8987881413975,0.00552943,0.756977,0.29015353945625,0.047308949709375
ENSMUSG00000023328,149.68520143597925,0.131597,19.6982,0.0,0.0
ENSMUSG00000074336,124.79370091614676,0.000222141,0.0277218,10.778895624999999,0.5559893124999999
ENSMUSG00000028649,143.56058396998503,0.0612987,8.80012,33.112047439499996,1.2398652673275
ENSMUSG00000028405,126.6594269733123,0.0298832,3.78498,0.0,0.0
ENSMUSG00000022477,159.04642949072297,0.0915891,14.5669,0.230611875,0.0575766875
ENSMUSG00000020777,134.39143747397,0.037078,4.98296,1539.6715,39.748512500000004
ENSMUSG00000044573,129.2995861484151,0.015514,2.00595,0.0,0.0
ENSMUSG00000002103,125.75871730631906,0.000350037,0.0440202,0.154006875,0.18355624999999998
ENSMUSG00000001348,151.8081576289701,2.00E-05,0.00303319,2.6858668750000003,0.2131181875
ENSMUSG00000022622,146.47910785110557,0.00511598,0.749382,0.8751375,0.140491875
ENSMUSG00000027107,116.44775507145197,0.000358802,0.0417817,25.255617500000003,0.60294425
ENSMUSG00000027577,130.00676277263946,0.0232272,3.0197,0.0,0.0
ENSMUSG00000031491,150.68962458700136,0.00348548,0.525224,63.9375,2.2111865
ENSMUSG00000030525,148.62949974951692,0.00768213,1.14179,6.019265,0.19419405625000002
ENSMUSG00000041189,122.99266291806768,0.000885081,0.108859,0.02012275,0.009898
ENSMUSG00000027950,119.76698511046713,0.0110242,1.32033,345.2177875000001,5.3712406249999995
ENSMUSG00000026251,109.74634710004472,0.00829399,0.910234,1.09776875e-06,3.40248125e-08
ENSMUSG00000014609,113.66720685750886,0.00340283,0.38679,0.1875,0.04225125
ENSMUSG00000026253,118.403017505477,0.00171255,0.202771,0.0,0.0
ENSMUSG00000022878,137.35255368163152,0.0363263,4.98952,0.0,0.0
ENSMUSG00000032110,125.80645161290323,7.15E-05,0.00899619,1.531350625,0.05014891875
ENSMUSG00000031972,148.9766585874229,0.125393,18.6806,0.0,0.0
ENSMUSG00000029580,161.5216527612237,0.165549,26.7398,0.5400437499999999,0.09072775000000001
ENSMUSG00000068614,134.44050923710157,0.110648,14.8756,0.25,0.180573875
ENSMUSG00000062825,152.6824455098607,0.0741182,11.3165,11639.18875,701.0946249999998
ENSMUSG00000059430,147.20879071793095,0.0862019,12.6897,0.0,0.0
ENSMUSG00000070979,127.9093059175596,0.00135421,0.173216,0.0,0.0
ENSMUSG00000070980,119.27161788540376,9.68E-05,0.0115417,0.0,0.0
ENSMUSG00000052374,128.578765716164,0.000278296,0.0357829,31.250678125,1.04046823125
ENSMUSG00000006457,136.26944377027115,0.0179929,2.45188,8.65066875,0.30893974999999996
ENSMUSG00000035783,167.3578006099547,0.104411,17.474,28.806799375,1.8280000625
ENSMUSG00000026836,128.2720785381347,0.00806129,1.03404,58.69065624999999,2.0460888749999997
ENSMUSG00000000532,128.16399633249935,0.0184045,2.35879,35.91426875,0.86434986875
ENSMUSG00000052155,136.0519325523283,0.00193704,0.263537,9.27263165051875,0.89934608679
ENSMUSG00000061393,122.74649005975147,0.000326558,0.0400838,57.747315625,3.5568480625
ENSMUSG00000000530,111.41059847702884,0.00481495,0.536436,0.12149718749999999,0.0390579375
ENSMUSG00000020774,139.56141268119256,0.0262275,3.66034,2.592961875,0.7006764999999999
ENSMUSG00000017697,148.5859540972333,2.04E-05,0.0030323,0.0,0.0
ENSMUSG00000054693,127.40311354104912,0.0160863,2.04945,0.0,0.0
ENSMUSG00000020926,142.44545429741618,0.00251495,0.358243,2.421492,0.5237817
ENSMUSG00000054555,113.6628858633904,0.00194599,0.221187,0.5734371875,0.1266985625
ENSMUSG00000028041,147.9529654888314,0.0628242,9.29503,0.0,0.0
ENSMUSG00000052593,115.73360752078861,0.0041727,0.482921,0.6840607499999999,0.11764783749999999
ENSMUSG00000011256,141.77117917697015,0.00392251,0.556099,1.187506875,0.47023531249999995
ENSMUSG00000022039,127.94515949812492,0.000125782,0.0160932,0.12584687500000002,0.00839035625
ENSMUSG00000031553,113.11874370293054,0.00575787,0.651323,0.0,0.0
ENSMUSG00000072972,125.77515806356203,0.00462434,0.581627,2.447455,0.10800074999999999
ENSMUSG00000031554,120.60009960159363,0.00217988,0.262894,0.8125,0.0247221875
ENSMUSG00000022056,113.85091416467256,0.00296676,0.337769,0.0,0.0
ENSMUSG00000025473,129.3576754370525,1.01E-07,1.30E-05,0.0,0.0
ENSMUSG00000031555,117.17854071100916,0.0145485,1.70477,3.735975625e-08,1.186607875e-09
ENSMUSG00000022893,110.58607243888707,0.000776706,0.0858928,0.703493125,0.10932675
ENSMUSG00000022994,109.57777791082188,0.00349499,0.382974,0.375,0.148056625
ENSMUSG00000031659,112.43560711054396,0.00738912,0.8308,33.4874375,0.571469375
ENSMUSG00000022376,123.81428507375689,0.00861883,1.06713,5.19973125,0.14414675000000002
ENSMUSG00000005580,114.36810870730677,0.00551546,0.630792,18.2077083375,0.46118346075750005
ENSMUSG00000024256,181.81626525266722,0.0604899,10.9981,1080.1875,55.90535625
ENSMUSG00000029778,141.68888498626987,0.0968209,13.7185,30.756664375,1.9549969375
ENSMUSG00000029106,145.24383499482408,0.0597776,8.68231,2.3566525,0.5292641875
ENSMUSG00000030000,165.22707034728407,0.0947371,15.6531,2.7842906580625,0.114092602133125
ENSMUSG00000028494,126.25576358809556,0.00856344,1.08119,0.14814125,0.0183905
ENSMUSG00000074207,135.08951760038124,0.000664581,0.0897779,1.43762875,0.14973881249999998
ENSMUSG00000055301,127.62979556212224,0.00481974,0.615143,0.494505,0.145841875
ENSMUSG00000028138,129.6608102054123,0.0161178,2.08985,13.957665625000002,4.1248738125
ENSMUSG00000039197,146.7050594744952,0.0296194,4.34532,0.187801875,0.0474539375
ENSMUSG00000030790,131.36577121357533,0.000910053,0.11955,0.41930999999999996,0.25103718750000004
ENSMUSG00000058396,134.45585989080357,0.00363555,0.488822,24.015874999999998,0.62218530625
ENSMUSG00000061780,153.71814003462066,0.001323,0.203369,0.0,0.0
ENSMUSG00000051149,134.4668916989941,0.00920457,1.23771,0.0,0.0
ENSMUSG00000042429,138.49172336493123,0.00436955,0.605146,338.85612499999996,7.760723124999998
ENSMUSG00000020178,143.7192316355095,0.00195789,0.281386,0.0,0.0
ENSMUSG00000018500,135.0103159512925,0.00201985,0.2727,23.875,1.4196381249999999
ENSMUSG00000000562,116.77671654248194,0.00550992,0.64343,2.148558125,0.15313465
ENSMUSG00000002844,161.34641179036066,0.100469,16.2103,1551.25,108.45080624999999
ENSMUSG00000026496,139.59815373728816,0.0152412,2.12764,3.935560451625,1.36350172788125
ENSMUSG00000036023,134.80503217195727,0.00260328,0.350936,0.20563625,0.11202
ENSMUSG00000045875,125.2716671084018,0.00933151,1.16897,1.811686875,0.0771306875
ENSMUSG00000027335,133.88407076250047,0.00201406,0.269651,6.5625,0.37232825
ENSMUSG00000033717,133.1702384242394,0.00246105,0.327739,336.4375,9.32369375
ENSMUSG00000058620,149.4845148359773,0.000178464,0.0266778,1.3812775,0.03738375000000001
ENSMUSG00000045318,133.34293154247376,0.000671838,0.089585,224.5625,6.896133124999999
ENSMUSG00000035283,112.50064722285916,0.000251475,0.0282911,35.75,1.4946990000000002
ENSMUSG00000045730,125.79320019706091,0.0046565,0.585757,4.8125,0.256634075
ENSMUSG00000022407,142.49487492445698,0.000130866,0.0186478,3.5955418750000003,1.44281125
