"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","ext_gene"
"1","ENSMUSG00000043384",4.42011795343444e-50,6.38751245450811e-46,1.42071309334019,0.0954756211875984,9.7274440768953,0.616466421165862,9.46489533105876e-05,0.0135787424084261,0.0124551516664805,0.0135787424084261,"Gprasp1"
"2","ENSMUSG00000042182",2.13760836213899e-40,1.54452892206353e-36,-1.53029714820539,0.115008491129566,8.14537168797001,0.717214474289905,0.000391066600256614,0.0179485155850473,0.0194493629475927,0.0194493629475927,"Bend6"
"3","ENSMUSG00000032199",1.93404535917932e-37,9.3162964951668e-34,-1.39978533757959,0.109468008824207,8.33138501343619,0.596389305304099,0.000288549696444684,0.0104234601951284,0.0176863177374602,0.0176863177374602,"Polr2m"
"4","ENSMUSG00000048978",3.7412245771714e-36,1.3516109091176e-32,-1.94945620135064,0.155275759522975,7.20080293834883,1.16182938889638,0.000375879516870086,0.0267685512344297,0.0357899627262849,0.0357899627262849,"Nrsn1"
"5","ENSMUSG00000028649",5.0777729359598e-32,1.4675779339511e-28,1.89990014961933,0.161311426776855,7.92482150779615,1.11411182524761,0.00248252147332777,0.0365495431398493,0.0220315356733326,0.0365495431398493,"Macf1"
"6","ENSMUSG00000073639",3.02820332185423e-31,7.2934277006859e-28,-1.45417897622645,0.125076295895006,7.85208058823668,0.638571139924062,0.000448967737688422,0.00477627158026007,0.0230171519545343,0.0230171519545343,"Rab18"
"7","ENSMUSG00000039218",1.30245549537248e-29,2.6888263376611e-26,1.45974515660797,0.129173520157596,7.77441345304454,0.649998315036466,0.000877555897601634,0.0125493670578205,0.0241511415672558,0.0241511415672558,"Srrm2"
"8","ENSMUSG00000020894",3.1515846850952e-27,5.69294378553884e-24,-1.23948487543222,0.114681197350058,8.13235711744209,0.471662769766493,0.00014157205001016,0.0133158564986475,0.0195860934884543,0.0195860934884543,"Vamp2"
"9","ENSMUSG00000060450",4.00250663722822e-26,6.42669149050944e-23,-1.02941279712473,0.0973682170909553,8.9107381735196,0.323535238410499,0.000146684409715368,0.00688834852184962,0.0140741701394917,0.0140741701394917,"Rnf14"
"10","ENSMUSG00000055430",5.06718683914654e-26,7.32259170125067e-23,-1.14209850847152,0.108253403176089,9.95977436193827,0.405379260074906,4.17457320463205e-05,0.0175364532167608,0.0125959904718054,0.0175364532167608,"Nap1l5"
"11","ENSMUSG00000033916",1.86882246122677e-25,2.45512303519891e-22,1.23010375149122,0.117974039625675,8.43738329365484,0.470648020660549,0.000226805549446725,0.0206500054889536,0.016828811119377,0.0206500054889536,"Chmp2a"
"12","ENSMUSG00000031428",8.66274780541446e-24,1.04321140446704e-20,0.947723744413451,0.0942466115297872,10.2989611831382,0.277719473063938,4.20439243076679e-05,0.0102896865087216,0.0132815917529623,0.0132815917529623,"Zcchc18"
"13","ENSMUSG00000026123",8.40243605550272e-23,8.6731145312907e-20,-1.58467582051239,0.161216112096287,8.2856920012516,0.784547998594314,0.000350923095007685,0.0386350291041563,0.0180876619758092,0.0386350291041563,"Plekhb2"
"14","ENSMUSG00000027805",8.3365383928331e-23,8.6731145312907e-20,-1.00853905281538,0.102594882630139,8.60871104563006,0.314190290535169,0.000145923282716741,0.0111603069910917,0.0156426416301212,0.0156426416301212,"Pfn2"
"15","ENSMUSG00000028557",1.98246620938218e-22,1.90990794611879e-19,-1.27237033579566,0.130597509142853,8.23340740478789,0.50614473269701,0.000335891746150467,0.025247672345326,0.0185716454360202,0.025247672345326,"Rnf11"
"16","ENSMUSG00000075014",3.27023804334312e-22,2.95363812277197e-19,4.29714248196087,0.443383551188462,5.12684474408554,5.70753468438898,0.0813729747457245,0.12850781438819,0.213510485451013,0.213510485451013,"Gm10800"
"17","ENSMUSG00000052727",3.63892053412009e-22,3.09329650815114e-19,0.899361864530212,0.0929016987809383,10.1436939722876,0.248819797027026,5.16791353877527e-05,0.00765365588417309,0.0128944093191885,0.0128944093191885,"Map1b"
"18","ENSMUSG00000072966",4.98471989562118e-22,4.00189928953454e-19,1.43866439729471,0.149106529080157,8.249224403147,0.647605882830203,0.00126296445582004,0.0320861710656776,0.0184223833292299,0.0320861710656776,"Gprasp2"
"19","ENSMUSG00000035202",7.5992876011267e-22,5.77985816441484e-19,1.2276815130416,0.127813945384458,7.76572191560065,0.456189293376695,0.000221068852245501,0.00481483631958281,0.0242835380998664,0.0242835380998664,"Lars2"
"20","ENSMUSG00000003072",1.7244926634657e-21,1.24603217398714e-18,0.886217468771367,0.0930857792787655,9.28464739196559,0.244809523055355,9.21286964408994e-05,0.0114017493894308,0.0129053147594617,0.0129053147594617,"Atp5d"
"21","ENSMUSG00000022054",1.24720842724274e-20,8.58257570575471e-18,1.04248822765104,0.111943639365273,9.86992420600307,0.341072165510511,7.67103041613432e-05,0.0187203572873521,0.0125107734056771,0.0187203572873521,"Nefm"
"22","ENSMUSG00000076432",5.63781668823748e-20,3.70327677098727e-17,-0.836301388431311,0.0913884825444391,9.74002744366755,0.216248983186036,7.16173173098894e-05,0.00796460705568295,0.012456164795353,0.012456164795353,"Ywhaq"
"23","ENSMUSG00000038274",4.88761726106147e-19,3.07091117563475e-16,1.17643601913076,0.131964591524759,7.8132982928993,0.430071605563259,0.00254946705221825,0.0160393997362697,0.0235725130722264,0.0235725130722264,"Fau"
