"","target_id","pval","qval","b","se_b","mean_obs","var_obs","sigma_q_sq","sigma_sq","smooth_sigma_sq","smooth_sigma_sq_pmax","ext_gene"
"1","ENSMUSG00000042182",1.65961102762586e-71,2.50916591266754e-67,-1.88673324342722,0.105516340771186,8.19149228996937,1.18910769931286,0.000425987221352869,0.00335439582124501,0.0107077109483881,0.0107077109483881,"Bend6"
"2","ENSMUSG00000048978",5.55646140974251e-48,4.20040700269485e-44,-1.95541925464904,0.13436160652539,7.37167609030477,1.27524301056395,0.000196325468514615,0.000835959651307787,0.017856715839569,0.017856715839569,"Nrsn1"
"3","ENSMUSG00000028649",3.07653722528952e-41,1.55047221030508e-37,2.19746073284534,0.163379342206844,7.40510711965106,1.62740643043902,0.00617508102165224,0.0205177284382889,0.0174379969647389,0.0205177284382889,"Macf1"
"4","ENSMUSG00000055430",3.7581293063283e-40,1.42047892455944e-36,-1.12999621416331,0.0851945557122699,9.8429364930256,0.429464171549009,4.14083535976688e-05,0.00570912695821059,0.00721670396941339,0.00721670396941339,"Nap1l5"
"5","ENSMUSG00000033916",2.85969246808189e-36,8.64713808498603e-33,1.29185407062862,0.10272334317782,8.31468623234028,0.563330370088994,0.00027036749387744,0.0102817177397508,0.0100647229608267,0.0102817177397508,"Chmp2a"
"6","ENSMUSG00000032479",5.63280863019483e-36,1.41937389466526e-32,-1.40499847271098,0.112199091017295,8.1740263054528,0.659854964704549,0.00178264481897413,0.000989448077759984,0.0108059912061331,0.0108059912061331,"Map4"
"7","ENSMUSG00000024953",5.49942724984393e-34,1.18779772271986e-30,1.05329010107707,0.0866659274157951,9.41466145277721,0.370828849785061,0.000260326634652168,0.00127292952946926,0.00725065634018769,0.00725065634018769,"Prdx5"
"8","ENSMUSG00000052727",4.0089734506878e-33,7.5764587001186e-30,1.02110632597455,0.085163151653713,9.77897741384833,0.350973637917518,6.40662598584765e-05,0.00506732614379151,0.00718869613973485,0.00718869613973485,"Map1b"
"9","ENSMUSG00000026123",1.1830480735766e-30,1.98738931382273e-27,-1.16665363803226,0.101365327372289,8.30666312406957,0.455840731530111,0.000170913446155303,0.00304982828205207,0.010104016147136,0.010104016147136,"Plekhb2"
"10","ENSMUSG00000031428",2.27922600509273e-30,3.44596179709969e-27,0.990814596474269,0.0865135942217337,10.0863475658407,0.332189493578973,5.2335027516444e-05,0.00737512304770632,0.00743226695764635,0.00743226695764635,"Zcchc18"
"11","ENSMUSG00000031425",8.85599787150589e-30,1.21721665290271e-26,-1.39361715287258,0.122953816662242,8.82532069622179,0.657468016948101,0.00016468563896268,0.0149529553928496,0.00819395879140524,0.0149529553928496,"Plp1"
"12","ENSMUSG00000027438",4.11846698028281e-29,5.18892518957465e-26,-0.990091610151326,0.0884080560008056,9.06923014845043,0.327305121774202,0.000148592084969964,0.000668392330308295,0.00766739228087161,0.00766739228087161,"Napb"
"13","ENSMUSG00000003072",6.24793217563998e-29,7.26634512026929e-26,0.965478711111437,0.0864959518091531,9.2721867027112,0.313148724025371,0.000102891535232251,0.00354562369812219,0.00737865814413908,0.00737865814413908,"Atp5d"
"14","ENSMUSG00000019761",2.93660112914873e-28,3.17131946225712e-25,1.94455692998196,0.176397494356356,6.89232406521679,1.26463822804337,0.00549300690611929,0.000813508188497315,0.0256230691090815,0.0256230691090815,"Krt10"
"15","ENSMUSG00000008393",6.14826895599568e-27,6.19704522304658e-24,-1.8092440545154,0.168354930832222,7.21177136770647,1.11001693809013,0.00111870994006563,0.0272246727954565,0.0200579010510129,0.0272246727954565,"Carhsp1"
"16","ENSMUSG00000052698",1.39602343086495e-26,1.31915489070295e-23,1.64326798311598,0.153998444701937,7.52011019675336,0.907383321105819,0.00761821797835119,0.00329193151334825,0.0160973029922645,0.0160973029922645,"Tln2"
"17","ENSMUSG00000020894",5.75022809430388e-26,5.11398226810473e-23,-1.11034411681678,0.10536229212003,8.14378528738637,0.412891628021294,0.000120673912102617,0.00278473924501613,0.010980538688684,0.010980538688684,"Vamp2"
"18","ENSMUSG00000033938",6.28617054877764e-26,5.28003402927607e-23,0.945724277480932,0.0898127198230478,10.3305308218146,0.30207608857351,0.000234248607392943,0.00568267974445614,0.00783207603462035,0.00783207603462035,"Ndufb7"
"19","ENSMUSG00000002379",1.3824488357063e-25,1.10006547089703e-22,0.929587529019692,0.0889088180995747,9.00614153940272,0.2893037657505,0.000120797292658557,0.00176836427862127,0.0077839806432047,0.0077839806432047,"Ndufa11"
"20","ENSMUSG00000059734",4.31996077563799e-25,3.26567434834354e-22,0.960834588432789,0.0928615570582305,8.73191658834648,0.313162348400413,0.000170580260254147,0.00797138917596224,0.00845268851902485,0.00845268851902485,"Ndufs8"
"21","ENSMUSG00000074656",1.55507670159882e-24,1.11958117387965e-21,1.05513025803418,0.103205667011468,8.3237371010434,0.375208219604723,0.000630596931177084,0.00553180176626871,0.0100208127721049,0.0100208127721049,"Eif2s2"
"22","ENSMUSG00000021270",2.33286150514887e-24,1.6032060498339e-21,0.921922412833003,0.0905248324759826,8.89800775723474,0.283837295586514,0.000179528334353482,0.000605947403504537,0.00801521696045123,0.00801521696045123,"Hsp90aa1"
